Nodepair	Maxflow_Score	Path_Score	Norm_Path_Score	Path	st_hops	mincut_edges	mincut_nodes
Rv2711_Rv1475c	171.01327	0.01526	0.00218	Rv2711,Rv1297,Rv3596c,Rv0350,Rv0384c,Rv1837c,Rv1915,Rv1475c	6	[('Rv1915', 'Rv1475c')]	Rv1915,Rv1475c
Rv2745c_Rv1475c	171.01327	0.0141	0.00235	Rv2745c,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv1915,Rv1475c	6	[('Rv1915', 'Rv1475c')]	Rv1915,Rv1475c
Rv2711_Rv2988c	115.92508	0.02319	0.0029	Rv2711,Rv1297,Rv3596c,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2988c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv2745c_Rv2988c	115.92508	0.02204	0.00315	Rv2745c,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2988c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv1221_Rv2988c	115.92508	0.02018	0.00336	Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2988c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv2711_Rv2987c	115.92508	0.0275	0.00344	Rv2711,Rv1297,Rv3596c,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2987c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv0023_Rv3879c	135.13873999999998	0.028610000000000007	0.00358	Rv0023,Rv1221,Rv0350,Rv2710,Rv2011c,Rv0757,Rv3862c,Rv3881c,Rv3879c	6	[('Rv0474', 'Rv2642'), ('Rv2011c', 'Rv0757'), ('Rv3249c', 'Rv2887')]	Rv0474,Rv2642,Rv2011c,Rv0757,Rv3249c,Rv2887
Rv0023_Rv2988c	115.92508	0.02605	0.00372	Rv0023,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2988c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv0340_Rv2988c	115.92508	0.02617	0.00374	Rv0340,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2988c	7	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv2745c_Rv2987c	115.92508	0.02634	0.00376	Rv2745c,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2987c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv1221_Rv2987c	115.92508	0.02448	0.004079999999999999	Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2987c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv0023_Rv2987c	115.92508	0.03035	0.00434	Rv0023,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2987c	6	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv0340_Rv2987c	115.92508	0.03048	0.00435	Rv0340,Rv1221,Rv0350,Rv0384c,Rv1837c,Rv3535c,Rv3710,Rv2987c	7	[('Rv3535c', 'Rv3710')]	Rv3535c,Rv3710
Rv2160c_Rv3329	135.13745	0.01369	0.006840000000000001	Rv2160c,Rv3290c,Rv3329	2	[('Rv2160c', 'Rv3290c')]	Rv2160c,Rv3290c
